customer_id,email,phone,segment
cust-086,customer086@example.com,,trial
cust-087,customer087@example.com,,enterprise
cust-088,customer088@example.com,,standard
cust-089,customer089@example.com,,trial
cust-090,customer090@example.com,,enterprise
cust-091,customer091@example.com,,standard
cust-092,customer092@example.com,,trial
cust-093,customer093@example.com,,enterprise
cust-094,customer094@example.com,,standard
cust-095,customer095@example.com,,trial
cust-096,customer096@example.com,,enterprise
cust-097,customer097@example.com,,standard
cust-098,customer098@example.com,,trial
cust-099,customer099@example.com,,enterprise
cust-100,customer100@example.com,,standard
cust-101,customer101@example.com,,trial
cust-102,customer102@example.com,,enterprise
cust-103,customer103@example.com,,standard
cust-104,customer104@example.com,,trial
cust-105,customer105@example.com,,enterprise
cust-106,customer106@example.com,,standard
cust-107,customer107@example.com,,trial
cust-108,customer108@example.com,,enterprise
cust-109,customer109@example.com,,standard
cust-110,customer110@example.com,,trial
cust-111,customer111@example.com,,enterprise
cust-112,customer112@example.com,,standard
cust-113,customer113@example.com,,trial
cust-114,customer114@example.com,,enterprise
cust-115,customer115@example.com,,standard
cust-116,customer116@example.com,,trial
cust-117,customer117@example.com,,enterprise
cust-118,customer118@example.com,,standard
cust-119,customer119@example.com,,trial
cust-120,customer120@example.com,,enterprise
cust-121,customer121@example.com,,standard
cust-122,customer122@example.com,,trial
cust-123,customer123@example.com,,enterprise
cust-124,customer124@example.com,,standard
cust-125,customer125@example.com,,trial
cust-126,customer126@example.com,,enterprise
cust-127,customer127@example.com,,standard
cust-128,customer128@example.com,,trial
cust-129,customer129@example.com,,enterprise
cust-130,customer130@example.com,,standard
cust-131,customer131@example.com,,trial
cust-132,customer132@example.com,,enterprise
cust-133,customer133@example.com,,standard
cust-134,customer134@example.com,,trial
cust-135,customer135@example.com,,enterprise
cust-136,customer136@example.com,,standard
cust-137,customer137@example.com,,trial
cust-138,customer138@example.com,,enterprise
cust-139,customer139@example.com,,standard
cust-140,customer140@example.com,,trial
cust-141,customer141@example.com,,enterprise
cust-142,customer142@example.com,,standard
cust-143,customer143@example.com,,trial
cust-144,customer144@example.com,,enterprise
cust-145,customer145@example.com,,standard
cust-146,customer146@example.com,,trial
cust-147,customer147@example.com,,enterprise
cust-148,customer148@example.com,,standard
cust-149,customer149@example.com,,trial
cust-150,customer150@example.com,,enterprise
cust-151,customer151@example.com,,standard
cust-152,customer152@example.com,,trial
cust-153,customer153@example.com,,enterprise
cust-154,customer154@example.com,,standard
cust-155,customer155@example.com,,trial
cust-156,customer156@example.com,,enterprise
cust-157,customer157@example.com,,standard
cust-158,customer158@example.com,,trial
cust-159,customer159@example.com,,enterprise
cust-160,customer160@example.com,,standard
cust-161,customer161@example.com,,trial
cust-162,customer162@example.com,,enterprise
cust-163,customer163@example.com,,standard
cust-164,customer164@example.com,,trial
cust-165,customer165@example.com,,enterprise
cust-166,customer166@example.com,,standard
cust-167,customer167@example.com,,trial
cust-168,customer168@example.com,,enterprise
cust-169,customer169@example.com,,standard
cust-170,customer170@example.com,,trial
cust-171,customer171@example.com,,enterprise
cust-172,customer172@example.com,,standard
cust-173,customer173@example.com,,trial
cust-174,customer174@example.com,,enterprise
cust-175,customer175@example.com,,standard
cust-176,customer176@example.com,,trial
cust-177,customer177@example.com,,enterprise
cust-178,customer178@example.com,,standard
cust-179,customer179@example.com,,trial
cust-180,customer180@example.com,,enterprise
cust-181,customer181@example.com,,standard
cust-182,customer182@example.com,,trial
cust-183,customer183@example.com,,enterprise
cust-184,customer184@example.com,,standard
cust-185,customer185@example.com,,trial
cust-186,customer186@example.com,,enterprise
cust-187,customer187@example.com,,standard
cust-188,customer188@example.com,,trial
cust-189,customer189@example.com,,enterprise
cust-190,customer190@example.com,,standard
cust-191,customer191@example.com,,trial
cust-192,customer192@example.com,,enterprise
cust-193,customer193@example.com,,standard
cust-194,customer194@example.com,,trial
cust-195,customer195@example.com,,enterprise
cust-196,customer196@example.com,,standard
cust-197,customer197@example.com,,trial
cust-198,customer198@example.com,,enterprise
cust-199,customer199@example.com,,standard
cust-200,customer200@example.com,,trial
cust-201,customer201@example.com,,enterprise
cust-202,customer202@example.com,,standard
cust-203,customer203@example.com,,trial
cust-204,customer204@example.com,,enterprise
cust-205,customer205@example.com,,standard
cust-206,customer206@example.com,,trial
cust-207,customer207@example.com,,enterprise
cust-208,customer208@example.com,,standard
cust-209,customer209@example.com,,trial
cust-210,customer210@example.com,,enterprise
cust-211,customer211@example.com,,standard
cust-212,customer212@example.com,,trial
cust-213,customer213@example.com,,enterprise
cust-214,customer214@example.com,,standard
cust-215,customer215@example.com,,trial
cust-216,customer216@example.com,,enterprise
cust-217,customer217@example.com,,standard
cust-218,customer218@example.com,,trial
cust-219,customer219@example.com,,enterprise
cust-220,customer220@example.com,,standard
cust-221,customer221@example.com,,trial
cust-222,customer222@example.com,,enterprise
cust-223,customer223@example.com,,standard
cust-224,customer224@example.com,,trial
cust-225,customer225@example.com,,enterprise
cust-226,customer226@example.com,,standard
cust-227,customer227@example.com,,trial
cust-228,customer228@example.com,,enterprise
cust-229,customer229@example.com,,standard
cust-230,customer230@example.com,,trial
cust-231,customer231@example.com,,enterprise
cust-232,customer232@example.com,,standard
cust-233,customer233@example.com,,trial
cust-234,customer234@example.com,,enterprise
cust-235,customer235@example.com,,standard
cust-236,customer236@example.com,,trial
cust-237,customer237@example.com,,enterprise
cust-238,customer238@example.com,,standard
cust-239,customer239@example.com,,trial
cust-240,customer240@example.com,,enterprise
cust-241,customer241@example.com,,standard
cust-242,customer242@example.com,,trial
cust-243,customer243@example.com,,enterprise
